Unnamed: 0,id,index,student_id,date,review_text,rating,rating_facilities,rating_clubs,rating_careerService,rating_internet,source,type,token_list,num_token,rating_bin,rating_cat,length_bin,sample_criteria
10,3_11_212_200,10,1385367.0,28th April 23,"The university offers a large array of support and help for career opportunities and self-development. If you're a student who struggles with any learning or mental health difficulties, the university and its staff are willing and supportive to help you achieve your best.",4.0,4,3,5,4,data3_557,university review,"['The', 'university', 'offers', 'a', 'large', 'array', 'of', 'support', 'and', 'help', 'for', 'career', 'opportunities', 'and', 'self-development', '.', 'If', 'you', ""'re"", 'a', 'student', 'who', 'struggles', 'with', 'any', 'learning', 'or', 'mental', 'health', 'difficulties', ',', 'the', 'university', 'and', 'its', 'staff', 'are', 'willing', 'and', 'supportive', 'to', 'help', 'you', 'achieve', 'your', 'best', '.']",47,"(2.5, 4.0]",Conf/Neu,"(41.0, 61.0]","Conf/Neu_(41.0, 61.0]"
11,3_12_525_200,11,985345.0,28th April 23,"I’ve never used the career service but I’ve heard it’s generally okay. I am particularly fond of the facilities at the university, especially their sports facilities. The internet is okay, although it doesn’t work sometimes. The wellbeing department could be more prioritised and would benefit from more funding.",3.6,4,4,3,3,data3_557,university review,"['I', '’', 've', 'never', 'used', 'the', 'career', 'service', 'but', 'I', '’', 've', 'heard', 'it', '’', 's', 'generally', 'okay', '.', 'I', 'am', 'particularly', 'fond', 'of', 'the', 'facilities', 'at', 'the', 'university', ',', 'especially', 'their', 'sports', 'facilities', '.', 'The', 'internet', 'is', 'okay', ',', 'although', 'it', 'doesn', '’', 't', 'work', 'sometimes', '.', 'The', 'wellbeing', 'department', 'could', 'be', 'more', 'prioritised', 'and', 'would', 'benefit', 'from', 'more', 'funding', '.']",62,"(2.5, 4.0]",Conf/Neu,"(61.0, 81.0]","Conf/Neu_(61.0, 81.0]"
12,3_13_103_200,12,1185339.0,28th April 23,Really Brilliant， high teaching quality,5.0,5,5,5,5,data3_557,university review,"['Really', 'Brilliant，', 'high', 'teaching', 'quality']",5,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
13,3_14_374_194,13,685248.0,27th April 23,"Great university with fantastic people and campuses. However, St Luke's is sometimes left behind a bit, so be sure to visit Streatham too.",3.2,4,4,3,4,data3_557,university review,"['Great', 'university', 'with', 'fantastic', 'people', 'and', 'campuses', '.', 'However', ',', 'St', 'Luke', ""'s"", 'is', 'sometimes', 'left', 'behind', 'a', 'bit', ',', 'so', 'be', 'sure', 'to', 'visit', 'Streatham', 'too', '.']",28,"(2.5, 4.0]",Conf/Neu,"(21.0, 41.0]","Conf/Neu_(21.0, 41.0]"
14,3_15_102_194,14,1184942.0,27th April 23,"It's a great uni, especially if you want to access nature before or after lectures. I wouldn't have wanted to go anywhere else for uni.",4.6,5,5,4,4,data3_557,university review,"['It', ""'s"", 'a', 'great', 'uni', ',', 'especially', 'if', 'you', 'want', 'to', 'access', 'nature', 'before', 'or', 'after', 'lectures', '.', 'I', 'would', ""n't"", 'have', 'wanted', 'to', 'go', 'anywhere', 'else', 'for', 'uni', '.']",30,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
15,3_16_101_178,15,1184902.0,25th April 23,"A good university, plenty of student support.",4.0,4,5,4,3,data3_557,university review,"['A', 'good', 'university', ',', 'plenty', 'of', 'student', 'support', '.']",9,"(2.5, 4.0]",Conf/Neu,"(0.999, 21.0]","Conf/Neu_(0.999, 21.0]"
16,3_17_524_178,16,984641.0,25th April 23,"Exeter is a great university, with a variety of facilities and societies. The careers team have a range of insightful opportunities available.",4.2,5,4,5,3,data3_557,university review,"['Exeter', 'is', 'a', 'great', 'university', ',', 'with', 'a', 'variety', 'of', 'facilities', 'and', 'societies', '.', 'The', 'careers', 'team', 'have', 'a', 'range', 'of', 'insightful', 'opportunities', 'available', '.']",25,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
17,3_18_373_133,17,684626.0,20th April 23,"Beautiful campus to study on, wish the library and study spaces were bigger. More welfare support needed also.",3.2,3,3,3,3,data3_557,university review,"['Beautiful', 'campus', 'to', 'study', 'on', ',', 'wish', 'the', 'library', 'and', 'study', 'spaces', 'were', 'bigger', '.', 'More', 'welfare', 'support', 'needed', 'also', '.']",21,"(2.5, 4.0]",Conf/Neu,"(0.999, 21.0]","Conf/Neu_(0.999, 21.0]"
18,3_19_41_133,18,1084625.0,20th April 23,"The school covers a wide area, beautiful environment, complete facilities, has a good learning environment and a large number of various physical and mental support",4.6,5,4,5,5,data3_557,university review,"['The', 'school', 'covers', 'a', 'wide', 'area', ',', 'beautiful', 'environment', ',', 'complete', 'facilities', ',', 'has', 'a', 'good', 'learning', 'environment', 'and', 'a', 'large', 'number', 'of', 'various', 'physical', 'and', 'mental', 'support']",28,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
19,3_20_372_133,19,684607.0,20th April 23,The school has good facilities and provides a good learning environment. But it's far from the city center,4.6,5,5,4,4,data3_557,university review,"['The', 'school', 'has', 'good', 'facilities', 'and', 'provides', 'a', 'good', 'learning', 'environment', '.', 'But', 'it', ""'s"", 'far', 'from', 'the', 'city', 'center']",20,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
20,3_21_211_133,20,1384603.0,20th April 23,The school is beautiful and the teachers are patient and responsible,5.0,5,5,5,5,data3_557,university review,"['The', 'school', 'is', 'beautiful', 'and', 'the', 'teachers', 'are', 'patient', 'and', 'responsible']",11,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
21,3_22_159_133,21,1284571.0,20th April 23,"This apartment is the best I've come across since I came to Exeter. It is well equipped with a gym and a large leisure area. The front desk of the apartment was also very enthusiastic, especially a sister named wenlanlin.",5.0,5,5,5,5,data3_557,university review,"['This', 'apartment', 'is', 'the', 'best', 'I', ""'ve"", 'come', 'across', 'since', 'I', 'came', 'to', 'Exeter', '.', 'It', 'is', 'well', 'equipped', 'with', 'a', 'gym', 'and', 'a', 'large', 'leisure', 'area', '.', 'The', 'front', 'desk', 'of', 'the', 'apartment', 'was', 'also', 'very', 'enthusiastic', ',', 'especially', 'a', 'sister', 'named', 'wenlanlin', '.']",45,"(4.0, 5.0]",Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]"
22,3_23_371_112,22,684492.0,19th April 23,Beautiful city. The campus environment is good. I really enjoy Exeter life.,5.0,5,5,5,5,data3_557,university review,"['Beautiful', 'city', '.', 'The', 'campus', 'environment', 'is', 'good', '.', 'I', 'really', 'enjoy', 'Exeter', 'life', '.']",15,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
23,3_24_268_95,23,484450.0,18th April 23,Great university with very supportive and hardworking lecturers.,3.6,5,4,1,5,data3_557,university review,"['Great', 'university', 'with', 'very', 'supportive', 'and', 'hardworking', 'lecturers', '.']",9,"(2.5, 4.0]",Conf/Neu,"(0.999, 21.0]","Conf/Neu_(0.999, 21.0]"
24,3_25_40_95,24,1084396.0,18th April 23,"The school is beautiful and my campus is in the city centre, next to waitrose. waitrose is the biggest supermarket in exeter and I go shopping after class, it's very convenient. It only takes 7 minutes to walk from depot to my campus. It's really a blessing for those who have trouble getting up",5.0,5,5,5,5,data3_557,university review,"['The', 'school', 'is', 'beautiful', 'and', 'my', 'campus', 'is', 'in', 'the', 'city', 'centre', ',', 'next', 'to', 'waitrose', '.', 'waitrose', 'is', 'the', 'biggest', 'supermarket', 'in', 'exeter', 'and', 'I', 'go', 'shopping', 'after', 'class', ',', 'it', ""'s"", 'very', 'convenient', '.', 'It', 'only', 'takes', '7', 'minutes', 'to', 'walk', 'from', 'depot', 'to', 'my', 'campus', '.', 'It', ""'s"", 'really', 'a', 'blessing', 'for', 'those', 'who', 'have', 'trouble', 'getting', 'up']",61,"(4.0, 5.0]",Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]"
25,3_26_39_86,25,1084377.0,17th April 23,"Superb, a good experience overall",4.0,4,4,4,4,data3_557,university review,"['Superb', ',', 'a', 'good', 'experience', 'overall']",6,"(2.5, 4.0]",Conf/Neu,"(0.999, 21.0]","Conf/Neu_(0.999, 21.0]"
26,3_27_267_86,26,484363.0,17th April 23,"The living environment here is very comfortable, and it takes about ten minutes to walk to the university, which is very convenient. The staff are very kind and enthusiastic, and they have helped me many times to solve the problem that I forgot to bring. Sincerely thanks a lot for their timely help.",5.0,5,5,5,5,data3_557,university review,"['The', 'living', 'environment', 'here', 'is', 'very', 'comfortable', ',', 'and', 'it', 'takes', 'about', 'ten', 'minutes', 'to', 'walk', 'to', 'the', 'university', ',', 'which', 'is', 'very', 'convenient', '.', 'The', 'staff', 'are', 'very', 'kind', 'and', 'enthusiastic', ',', 'and', 'they', 'have', 'helped', 'me', 'many', 'times', 'to', 'solve', 'the', 'problem', 'that', 'I', 'forgot', 'to', 'bring', '.', 'Sincerely', 'thanks', 'a', 'lot', 'for', 'their', 'timely', 'help', '.']",59,"(4.0, 5.0]",Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]"
27,3_28_468_86,27,884362.0,17th April 23,I am very happy here at exeter! I think they emphasize a lot in helping students feel welcomed and happy and that is very important,4.0,4,4,4,5,data3_557,university review,"['I', 'am', 'very', 'happy', 'here', 'at', 'exeter', '!', 'I', 'think', 'they', 'emphasize', 'a', 'lot', 'in', 'helping', 'students', 'feel', 'welcomed', 'and', 'happy', 'and', 'that', 'is', 'very', 'important']",26,"(2.5, 4.0]",Conf/Neu,"(21.0, 41.0]","Conf/Neu_(21.0, 41.0]"
28,3_29_38_86,28,1084360.0,17th April 23,"I particularly like this school, especially the career zone service. The teachers are also very friendly.",5.0,5,5,5,5,data3_557,university review,"['I', 'particularly', 'like', 'this', 'school', ',', 'especially', 'the', 'career', 'zone', 'service', '.', 'The', 'teachers', 'are', 'also', 'very', 'friendly', '.']",19,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
29,3_30_523_86,29,984244.0,17th April 23,Chilled out and great facilities,5.0,5,5,5,5,data3_557,university review,"['Chilled', 'out', 'and', 'great', 'facilities']",5,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
30,3_31_522_69,30,984240.0,15th April 23,"Lots of space, good facilities and the lecture theatres are really good",3.6,4,3,4,4,data3_557,university review,"['Lots', 'of', 'space', ',', 'good', 'facilities', 'and', 'the', 'lecture', 'theatres', 'are', 'really', 'good']",13,"(2.5, 4.0]",Conf/Neu,"(0.999, 21.0]","Conf/Neu_(0.999, 21.0]"
31,3_32_158_69,31,1284138.0,15th April 23,"Bit few study spaces, sometimes get the impression that the uni doesn’t really care about its students, nor its staff. Module choice is alright, but nothing extraordinary. If you decide to study politics/IR, be prepared for a lack of support, teaching yourself about methods and that everything happens really late. It’s a green campus, the library is a bit sad but are other options on campus once you find them. The 2 pound meal is a plus. Be prepared for the hill and high rent.",3.0,3,2,3,4,data3_557,university review,"['Bit', 'few', 'study', 'spaces', ',', 'sometimes', 'get', 'the', 'impression', 'that', 'the', 'uni', 'doesn', '’', 't', 'really', 'care', 'about', 'its', 'students', ',', 'nor', 'its', 'staff', '.', 'Module', 'choice', 'is', 'alright', ',', 'but', 'nothing', 'extraordinary', '.', 'If', 'you', 'decide', 'to', 'study', 'politics/IR', ',', 'be', 'prepared', 'for', 'a', 'lack', 'of', 'support', ',', 'teaching', 'yourself', 'about', 'methods', 'and', 'that', 'everything', 'happens', 'really', 'late', '.', 'It', '’', 's', 'a', 'green', 'campus', ',', 'the', 'library', 'is', 'a', 'bit', 'sad', 'but', 'are', 'other', 'options', 'on', 'campus', 'once', 'you', 'find', 'them', '.', 'The', '2', 'pound', 'meal', 'is', 'a', 'plus', '.', 'Be', 'prepared', 'for', 'the', 'hill', 'and', 'high', 'rent', '.']",101,"(2.5, 4.0]",Conf/Neu,"(81.0, 101.0]","Conf/Neu_(81.0, 101.0]"
32,3_33_426_39,32,784082.0,13th April 23,"Lovely campus, with an amazing areay of subkects and opportunities, lacks student diversity.",4.6,5,5,5,3,data3_557,university review,"['Lovely', 'campus', ',', 'with', 'an', 'amazing', 'areay', 'of', 'subkects', 'and', 'opportunities', ',', 'lacks', 'student', 'diversity', '.']",16,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
33,3_34_100_29,33,1184031.0,12th April 23,"Great Uni, prestigious, lots of green space, really knowledgeable lecturers",5.0,5,5,5,5,data3_557,university review,"['Great', 'Uni', ',', 'prestigious', ',', 'lots', 'of', 'green', 'space', ',', 'really', 'knowledgeable', 'lecturers']",13,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
34,3_35_210_29,34,1384004.0,12th April 23,"Had a wonderful experience in exeter, the support I received from faculty, career zone staff was best",5.0,5,5,5,5,data3_557,university review,"['Had', 'a', 'wonderful', 'experience', 'in', 'exeter', ',', 'the', 'support', 'I', 'received', 'from', 'faculty', ',', 'career', 'zone', 'staff', 'was', 'best']",19,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
35,3_36_425_29,35,784001.0,12th April 23,"Exeter has it all. Even though it is a campus based University, the 10minuets walk into the city makes it feel like it’s both city and campus. With the beach 20mins away by train it makes a great weekend excursion whilst at uni.",5.0,5,5,5,5,data3_557,university review,"['Exeter', 'has', 'it', 'all', '.', 'Even', 'though', 'it', 'is', 'a', 'campus', 'based', 'University', ',', 'the', '10minuets', 'walk', 'into', 'the', 'city', 'makes', 'it', 'feel', 'like', 'it', '’', 's', 'both', 'city', 'and', 'campus', '.', 'With', 'the', 'beach', '20mins', 'away', 'by', 'train', 'it', 'makes', 'a', 'great', 'weekend', 'excursion', 'whilst', 'at', 'uni', '.']",49,"(4.0, 5.0]",Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]"
36,3_37_370_29,36,683990.0,12th April 23,The career zone is fantastic and really helpful. There are lots of societies but the wifi can be a bit patchy,4.2,4,5,5,3,data3_557,university review,"['The', 'career', 'zone', 'is', 'fantastic', 'and', 'really', 'helpful', '.', 'There', 'are', 'lots', 'of', 'societies', 'but', 'the', 'wifi', 'can', 'be', 'a', 'bit', 'patchy']",22,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
37,3_38_424_18,37,783988.0,11th April 23,"This is the best university for an International student. Best student exposure, career zone facility, well- being service etc. #iloveexeteruni",5.0,5,5,5,5,data3_557,university review,"['This', 'is', 'the', 'best', 'university', 'for', 'an', 'International', 'student', '.', 'Best', 'student', 'exposure', ',', 'career', 'zone', 'facility', ',', 'well-', 'being', 'service', 'etc', '.', '#', 'iloveexeteruni']",25,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
38,3_39_521_18,38,983987.0,11th April 23,"I have had an amazing first year at Exeter. The amount of careers help and the quality of the support, campus and teaching is incredible. I settled in so quickly and believe it was because of all the support that was available to me. The number and range of societies was almost overwhelming but so great! It’s allowed me to find new interests and connect with new people.",4.4,5,5,4,3,data3_557,university review,"['I', 'have', 'had', 'an', 'amazing', 'first', 'year', 'at', 'Exeter', '.', 'The', 'amount', 'of', 'careers', 'help', 'and', 'the', 'quality', 'of', 'the', 'support', ',', 'campus', 'and', 'teaching', 'is', 'incredible', '.', 'I', 'settled', 'in', 'so', 'quickly', 'and', 'believe', 'it', 'was', 'because', 'of', 'all', 'the', 'support', 'that', 'was', 'available', 'to', 'me', '.', 'The', 'number', 'and', 'range', 'of', 'societies', 'was', 'almost', 'overwhelming', 'but', 'so', 'great', '!', 'It', '’', 's', 'allowed', 'me', 'to', 'find', 'new', 'interests', 'and', 'connect', 'with', 'new', 'people', '.']",76,"(4.0, 5.0]",Pos,"(61.0, 81.0]","Pos_(61.0, 81.0]"
39,3_40_520_18,39,983983.0,11th April 23,The university has a wide range of initiatives and plans but rarely executes it to a high standard. For example EDI training within societies.,2.6,2,1,4,2,data3_557,university review,"['The', 'university', 'has', 'a', 'wide', 'range', 'of', 'initiatives', 'and', 'plans', 'but', 'rarely', 'executes', 'it', 'to', 'a', 'high', 'standard', '.', 'For', 'example', 'EDI', 'training', 'within', 'societies', '.']",26,"(2.5, 4.0]",Conf/Neu,"(21.0, 41.0]","Conf/Neu_(21.0, 41.0]"
40,3_41_99_18,40,1183982.0,11th April 23,University of Exeter is very diverse and massive university. I really like the sports centre though you have to climb to hill to get there which is a bit of a task.,4.6,4,4,5,5,data3_557,university review,"['University', 'of', 'Exeter', 'is', 'very', 'diverse', 'and', 'massive', 'university', '.', 'I', 'really', 'like', 'the', 'sports', 'centre', 'though', 'you', 'have', 'to', 'climb', 'to', 'hill', 'to', 'get', 'there', 'which', 'is', 'a', 'bit', 'of', 'a', 'task', '.']",34,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
41,3_42_266_18,41,483978.0,11th April 23,"Being my first time, studying in an away country, University of Exeter provided me with a wonderful experience. Be it learning a new tech skill, adjusting to new environment or help with cost of living, the university provided all the help and made me feel welcome and secure. The career zone is really helpful and the library is filled with plethora of resources to develop skill and knowledge.",5.0,5,5,5,5,data3_557,university review,"['Being', 'my', 'first', 'time', ',', 'studying', 'in', 'an', 'away', 'country', ',', 'University', 'of', 'Exeter', 'provided', 'me', 'with', 'a', 'wonderful', 'experience', '.', 'Be', 'it', 'learning', 'a', 'new', 'tech', 'skill', ',', 'adjusting', 'to', 'new', 'environment', 'or', 'help', 'with', 'cost', 'of', 'living', ',', 'the', 'university', 'provided', 'all', 'the', 'help', 'and', 'made', 'me', 'feel', 'welcome', 'and', 'secure', '.', 'The', 'career', 'zone', 'is', 'really', 'helpful', 'and', 'the', 'library', 'is', 'filled', 'with', 'plethora', 'of', 'resources', 'to', 'develop', 'skill', 'and', 'knowledge', '.']",75,"(4.0, 5.0]",Pos,"(61.0, 81.0]","Pos_(61.0, 81.0]"
42,3_43_265_18,42,483971.0,11th April 23,"University is good, there could be more and diverse eating options, student guild and facilities are great. But university is huge and locating certain buildings can be bit challenging as it’s a hilly campus.",4.6,5,4,5,4,data3_557,university review,"['University', 'is', 'good', ',', 'there', 'could', 'be', 'more', 'and', 'diverse', 'eating', 'options', ',', 'student', 'guild', 'and', 'facilities', 'are', 'great', '.', 'But', 'university', 'is', 'huge', 'and', 'locating', 'certain', 'buildings', 'can', 'be', 'bit', 'challenging', 'as', 'it', '’', 's', 'a', 'hilly', 'campus', '.']",40,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
43,3_44_423_18,43,783966.0,11th April 23,I am studying at the Cornwall campus. I have not had any issues with the internet. I know there is great support for careers however I haven’t yet used them. I know where the student union is however I haven’t had anything to do with it and I’m not sure of what services they provide. I am a committee member for a society and I feel like the support/training has not been great. I love the campus,3.8,4,3,4,5,data3_557,university review,"['I', 'am', 'studying', 'at', 'the', 'Cornwall', 'campus', '.', 'I', 'have', 'not', 'had', 'any', 'issues', 'with', 'the', 'internet', '.', 'I', 'know', 'there', 'is', 'great', 'support', 'for', 'careers', 'however', 'I', 'haven', '’', 't', 'yet', 'used', 'them', '.', 'I', 'know', 'where', 'the', 'student', 'union', 'is', 'however', 'I', 'haven', '’', 't', 'had', 'anything', 'to', 'do', 'with', 'it', 'and', 'I', '’', 'm', 'not', 'sure', 'of', 'what', 'services', 'they', 'provide', '.', 'I', 'am', 'a', 'committee', 'member', 'for', 'a', 'society', 'and', 'I', 'feel', 'like', 'the', 'support/training', 'has', 'not', 'been', 'great', '.', 'I', 'love', 'the', 'campus']",88,"(2.5, 4.0]",Conf/Neu,"(81.0, 101.0]","Conf/Neu_(81.0, 101.0]"
